Top Streamed Music Artists Week 09032020 in Alphabetical Order

Artist                         Appearance

21 Savage                          1
24kGoldn                           1
42 Dugg                            1
50 Cent                            1
6ix9ine                            1
AJ Tracey                          1
Alex Rose                          1
Anuel AA                           2
Ariana Grande                      3
Arizona Zervas                     1
Ava Max                            1
Bad Bunny                          2
BANNERS                            1
Bea Miller                         1
BENEE                              1
Beyoncé                            1
Billie Eilish                      5
Black Eyed Peas                    2
Blackbear                          2
BLACKPINK                          3
Bon Iver                           1
BTS                                2
BØRNS                              1
Camilo                             3
Cardi B                            1
Chris Brown                        2
Clairo                             1
Conan Gray                         1
Conkarah                           1
Curtis Waters                      1
DaBaby                             3
Dalex                              1
Dean Lewis                         1
DiOs Mío!                          1
Doja Cat                           2
Don Toliver                        2
Drake                              7
Dua Lipa                           3
Dímelo Flow                        1
Ed Sheeran                         3
Emilee                             1
Falsetto                           1
Giveon                             1
Gunna                              1
Halsey                             3
Harm Franklin                      1
Harry Nach                         1
Harry Styles                       3
Headie One                         1
Iann Dior                          1
Imagine Dragons                    1
Internet Money                     2
ITZY                               1
J Balvin                           4
Jack Harlow                        1
James Arthur                       1
Jason Derulo                       1
Jawsh 685                          1
Jay Wheeler                        1
Jerry Di                           1
Jhay Cortez                        1
Joel Corry                         1
John Legend                        1
Jonas Esticado                     1
Jowell & Randy                     1
JP Saxe                            1
Juice WRLD                        13
Jul                                1
Julia Michaels                     1
Justin Bieber                      4
Justin Quiles                      3
K/DA                               1
KAROL G                            1
Katy Perry                         1
Kendrick Lamar                     1
Khalid                             3
KHEA                               1
Kina                               1
KitschKrieg                        1
Kygo                               2
Labrinth                           1
Lady Gaga                          3
Lenny Santos                       1
Lewis Capaldi                      3
Lil Baby                           3
Lil Durk                           1
Lil Mosey                          1
Lil Tjay                           1
Machine Gun Kelly                  1
Maluma                             5
Manuel Turizo                      1
Maroon 5                           2
Marshmello                         3
Marshmello                         1
Mc Zaac                            1
MEDUZA                             1
Megan Thee Stallion                2
Melanie Martinez                   1
Miley Cyrus                        2
MNEK                               1
Morgan Wallen                      1
NAV                                1
Nea                                1
Niack                              1
Nicki Nicole                       1
Nicky Jam                          1
Nio Garcia                         1
Noah Cyrus                         1
Ozuna                              2
Pablo Alborán                      1
Passenger                          1
Peach Tree Rascals                 1
Polo G                             2
Pop Smoke                          5
Post Malone                        3
Powfu                              1
Quavo                              1
Queen                              1
Rauw Alejandro                     2
Regard                             2
Robin Schulz                       1
Roddy Ricch                        4
SAINt JHN                          1
Saweetie                           1
Sech                               2
Selena Gomez                       1
Shaggy                             1
Shawn Mendes                       1
Snøw                               1
StaySolidRocky                     1
Stormzy                            1
Super Yei                          1
Surf Mesa                          1
Surfaces                           1
Swae Lee                           1
Tainy                              2
Tame Impala                        1
Tate McRae                         1
Taylor Swift                       3
The Chainsmokers                   1
The Kid Laroi                      1
The Neighbourhood                  1
THE SCOTTS                         1
The Weeknd                         4
Tones And I                        1
Topic                              1
Towy                               1
Travis Scott                       5
Trevor Daniel                      1
Trueno                             1
Vance Joy                          1
Wallows                            1
XXXTENTACION                       3
Young Thug                         2
YoungBoy Never Broke Again         1
